Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent
Benin,26952.0,0.0,163.0,0.0,25506.0,0.0,1283.0,5.0,604310.0,12696930.0,Africa
Somalia,26485.0,0.0,1350.0,0.0,13182.0,0.0,11953.0,0.0,400466.0,16694320.0,Africa
Congo,24079.0,0.0,385.0,0.0,20178.0,0.0,3516.0,0.0,347815.0,5763505.0,Africa
Saint Lucia,23239.0,38.0,368.0,0.0,22736.0,15.0,135.0,1.0,142630.0,185144.0,North America
Timor-Leste,22860.0,0.0,130.0,0.0,22714.0,0.0,16.0,0.0,261007.0,1363829.0,Asia
Cayman Islands,21755.0,0.0,26.0,0.0,8553.0,0.0,13176.0,1.0,222773.0,67117.0,North America
Burkina Faso,20853.0,0.0,382.0,0.0,20439.0,0.0,32.0,0.0,248995.0,21938858.0,Africa
Nicaragua,18491.0,0.0,225.0,0.0,4225.0,0.0,14041.0,0.0,354205.0,6767032.0,North America
Gibraltar,17706.0,0.0,102.0,1.0,16579.0,0.0,1025.0,0.0,534283.0,33673.0,Europe
South Sudan,17422.0,0.0,138.0,0.0,13514.0,0.0,3770.0,1.0,376391.0,11430967.0,Africa
Tajikistan,17388.0,0.0,124.0,0.0,17264.0,0.0,0.0,0.0,10635487.0,9924758.0,Asia
Liechtenstein,17091.0,27.0,84.0,0.0,16801.0,50.0,206.0,0.0,102174.0,38326.0,Europe
San Marino,16140.0,0.0,114.0,0.0,15662.0,0.0,364.0,4.0,149271.0,34060.0,Europe
Equatorial Guinea,15907.0,0.0,183.0,0.0,15698.0,0.0,26.0,5.0,310972.0,1486246.0,Africa
Djibouti,15611.0,0.0,189.0,0.0,15411.0,0.0,11.0,0.0,303924.0,1013971.0,Africa
CAR,14649.0,0.0,113.0,0.0,6859.0,0.0,7677.0,2.0,81294.0,4981542.0,Africa
Grenada,14428.0,96.0,220.0,0.0,13945.0,73.0,263.0,4.0,148567.0,113466.0,North America
Bermuda,13143.0,0.0,131.0,0.0,12719.0,0.0,293.0,0.0,866313.0,61862.0,North America
Solomon Islands,12437.0,0.0,139.0,0.0,11194.0,0.0,1104.0,2.0,5117.0,717320.0,Australia/Oceania
Dominica,12011.0,0.0,63.0,0.0,11926.0,0.0,22.0,0.0,187690.0,72309.0,North America
Gambia,11995.0,0.0,365.0,0.0,11591.0,0.0,39.0,0.0,155686.0,2539329.0,Africa
Greenland,11971.0,0.0,21.0,0.0,2761.0,0.0,9189.0,4.0,164926.0,56948.0,North America
Yemen,11818.0,0.0,2148.0,0.0,9001.0,0.0,669.0,23.0,265253.0,31013036.0,Asia
Monaco,11604.0,27.0,54.0,0.0,11362.0,34.0,188.0,4.0,54960.0,39745.0,Europe
Saint Martin,10279.0,0.0,63.0,0.0,1399.0,0.0,8817.0,7.0,112382.0,39858.0,North America
Sint Maarten,9990.0,9.0,86.0,0.0,9841.0,5.0,63.0,10.0,62056.0,43756.0,North America
Eritrea,9733.0,0.0,103.0,0.0,9629.0,0.0,1.0,0.0,23693.0,3635146.0,Africa
Caribbean Netherlands,9592.0,0.0,34.0,0.0,9392.0,0.0,166.0,0.0,30126.0,26664.0,North America
Tonga,9553.0,0.0,11.0,0.0,8306.0,0.0,1236.0,0.0,408213.0,107861.0,Australia/Oceania
Niger,8914.0,6.0,309.0,0.0,8507.0,9.0,98.0,1.0,249026.0,25789297.0,Africa
Guinea-Bissau,8185.0,0.0,171.0,0.0,7515.0,39.0,499.0,6.0,132611.0,2052050.0,Africa
Comoros,8100.0,0.0,160.0,0.0,7933.0,0.0,7.0,0.0,663805.0,903077.0,Africa
Sierra Leone,7681.0,0.0,125.0,0.0,46402.0,0.0,0.0,0.0,259958.0,8270147.0,Africa
Antigua and Barbuda,7571.0,0.0,135.0,0.0,7402.0,0.0,34.0,1.0,18901.0,99395.0,North America
Liberia,7432.0,0.0,294.0,0.0,5747.0,0.0,1391.0,2.0,139824.0,5272486.0,Africa
Chad,7396.0,0.0,193.0,0.0,4874.0,0.0,2329.0,0.0,191341.0,17277400.0,Africa
Samoa,7185.0,0.0,13.0,0.0,1605.0,0.0,5567.0,3.0,53893.0,200798.0,Australia/Oceania
Vanuatu,6789.0,136.0,12.0,0.0,5991.0,92.0,786.0,5.0,24976.0,320114.0,Australia/Oceania
St. Vincent Grenadines,6779.0,8.0,106.0,0.0,6641.0,0.0,32.0,0.0,98860.0,111577.0,North America
British Virgin Islands,6296.0,0.0,62.0,0.0,22736.0,0.0,0.0,1.0,102862.0,30595.0,North America
Sao Tome and Principe,5953.0,0.0,73.0,0.0,5875.0,0.0,5.0,0.0,29036.0,226514.0,Africa
Turks and Caicos,5941.0,0.0,36.0,0.0,5862.0,0.0,43.0,4.0,478593.0,39664.0,North America
Saint Kitts and Nevis,5561.0,0.0,43.0,0.0,5517.0,0.0,1.0,0.0,65141.0,53879.0,North America
Cook Islands,4727.0,118.0,0.0,0.0,3990.0,17.0,737.0,0.0,15740.0,17593.0,Australia/Oceania
St. Barth,4432.0,0.0,6.0,0.0,22736.0,0.0,0.0,0.0,78646.0,9931.0,North America
Palau,4396.0,0.0,6.0,0.0,3879.0,0.0,511.0,1.0,45500.0,18250.0,Australia/Oceania
Kiribati,3076.0,0.0,13.0,0.0,2597.0,0.0,466.0,3.0,76428.5,122762.0,Australia/Oceania
Anguilla,2731.0,0.0,9.0,0.0,2716.0,0.0,6.0,4.0,51382.0,15245.0,North America
Saint Pierre Miquelon,2641.0,0.0,1.0,0.0,2449.0,0.0,191.0,1.0,22941.0,5743.0,North America
Wallis and Futuna,454.0,0.0,7.0,0.0,438.0,0.0,9.0,0.0,20508.0,10883.0,Australia/Oceania
Montserrat,183.0,0.0,2.0,0.0,174.0,0.0,7.0,0.0,9700.0,4997.0,North America
Falkland Islands,128.0,0.0,0.0,0.0,854575.0,0.0,0.0,0.0,8632.0,3663.0,South America
Macao,82.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,5375.0,665336.0,Asia
Vatican City,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,9797011.0,805.0,Europe
Marshall Islands,15.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,76428.5,59912.0,Australia/Oceania
Western Sahara,10.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,663805.0,623876.0,Africa
Niue,8.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,76428.5,1646.0,Australia/Oceania
Nauru,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,76428.5,10947.0,Australia/Oceania
Saint Helena,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,663805.0,6110.0,Africa
Micronesia,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76428.5,117203.0,Australia/Oceania
